,YEAR,STATE NAME,DISTRICT NAME,TOTAL POULATION,PERCENTAGE URBAN POPULATION,0-6 POPULATION,GROWTH RATE,SEX RATIO,PERCENTAGE SC POPULATION,PERCENTAGE ST POPULATION,OVERALL LITERACY,FEMALE LITERACY,MALE LITERACY,AREA (SQ. KM) (AREA SQKM),AGE GROUP 6 TO 10 (TOT 6 10 15),AGE GROUP 11 TO 13 (TOT 11 13 15),PRIMARY ONLY (SCH1),PRIMARY WITH UPPER PRIMARY (SCH2)
479,2015-16,MADHYA PRADESH,RAISEN,1331699,22.8,203749.95,18.36,899,16.96,15.4,74.26,65.09,82.5,8466,152685,95294,1887,287
480,2015-16,MADHYA PRADESH,BETUL,1575247,19.6,207932.6,12.91,970,10.11,42.34,70.14,61.63,78.4,10043,154333,96962,2125,145
481,2015-16,MADHYA PRADESH,HARDA,570302,20.9,82123.49,20.21,932,16.28,27.99,74.04,64.3,83.1,3334,61731,37843,606,105
482,2015-16,MADHYA PRADESH,HOSHANGABAD,1240975,31.4,161326.75,14.45,912,16.52,15.89,76.52,67.04,85.2,6703,118184,75874,1243,230
483,2015-16,MADHYA PRADESH,KATNI,1291684,20.4,188585.86,21.38,948,12.05,24.59,73.62,62.47,84.2,4950,140981,89127,1428,190
484,2015-16,MADHYA PRADESH,JABALPUR,2460714,58.5,287903.54,14.39,925,14.13,15.23,82.47,75.3,89.1,5211,216493,134661,1815,432
485,2015-16,MADHYA PRADESH,NARSIMHAPUR,1092141,18.6,139794.05,14.04,917,16.87,13.36,76.79,67.64,85.2,5133,101607,64743,1287,156
486,2015-16,MADHYA PRADESH,DINDORI,704218,4.6,106336.92,21.26,1004,5.65,64.7,65.47,53.49,77.6,7470,81846,45719,1487,64
487,2015-16,MADHYA PRADESH,MANDLA,1053522,12.4,144332.51,17.81,1005,4.59,57.88,68.28,57.2,79.5,5800,110253,66340,2148,70
488,2015-16,MADHYA PRADESH,CHHINDWARA,2090306,24.4,267559.17,13.03,966,11.11,36.82,72.21,63.38,80.8,11815,197338,126082,2800,294
489,2015-16,MADHYA PRADESH,SEONI,1378876,11.9,176496.13,18.2,984,9.48,37.69,73.01,64.14,81.8,8758,132954,86063,2264,195
490,2015-16,MADHYA PRADESH,BALAGHAT,1701156,14.4,207541.03,13.56,1021,7.37,22.51,78.29,69.71,87.1,9229,152492,101706,2105,245
491,2015-16,MADHYA PRADESH,ASHOKNAGAR,844979,18.2,136886.6,22.65,900,20.8,9.71,67.9,54.18,80.2,4674,102989,65024,1142,157
492,2015-16,MADHYA PRADESH,ANUPPUR,749521,27.4,102684.38,12.35,975,9.93,47.85,69.08,57.89,80.1,3747,77374,46903,1215,118
493,2015-16,MADHYA PRADESH,BURHANPUR,756993,34.4,120361.89,19.23,951,8.48,30.36,65.28,57.12,73.1,3427,90094,52738,563,72
494,2015-16,MADHYA PRADESH,ALIRAJPUR,728677,7.8,144278.05,19.4,1009,3.69,88.98,37.22,30.97,43.6,3182,111658,67198,1968,54
495,2015-16,MADHYA PRADESH,SINGRAULI,1178132,19.3,203816.84,28.03,916,12.79,32.59,62.36,49.86,73.8,5675,151138,90763,1569,196
496,2015-16,MADHYA PRADESH,AGAR MALWA,,,,,,,,,,,,,,725,143
497,2015-16,GUJARAT,KACHCHH,2090313,13.27,310202.45,32.03,907,12.37,1.16,71.58,61.62,80.6,45674,234042,134857,182,1803
498,2015-16,GUJARAT,BANAS KANTHA,3116045,20.93,498878.8,24.43,936,10.49,9.11,66.39,52.58,79.45,10743,381163,232204,1098,1511
499,2015-16,GUJARAT,PATAN,1342746,25.35,179390.87,13.53,935,9.18,0.99,73.47,62.01,84.28,5792,138195,86225,203,719
500,2015-16,GUJARAT,MAHESANA,2027727,14.96,227713.74,9.91,925,7.98,0.46,84.26,76.12,91.88,4401,174840,113056,234,957
501,2015-16,GUJARAT,SABAR KANTHA,2427346,43.21,337401.09,16.56,950,7.73,22.32,76.6,65.29,87.45,7394,249776,148137,501,928
502,2015-16,GUJARAT,GANDHINAGAR,1387478,84.05,159421.22,12.15,920,7.8,1.31,85.78,77.37,93.59,2140,121780,74943,169,718
503,2015-16,GUJARAT,AHMEDABAD,7208200,28.3,802272.66,22.31,903,10.53,1.24,86.65,80.29,92.44,8107,609612,374117,357,2188
504,2015-16,GUJARAT,SURENDRANAGAR,1755873,58.12,234233.46,15.89,929,10.22,1.22,73.19,62.2,83.47,10423,178237,111528,136,894
505,2015-16,GUJARAT,RAJKOT,3799770,44.96,424054.33,19.87,924,7.63,0.63,82.2,75.26,88.67,11198,318580,200006,107,1711
506,2015-16,GUJARAT,JAMNAGAR,2159130,48.77,254129.6,13.38,938,8.05,1.12,74.4,65.97,82.35,14184,194472,124788,54,907
507,2015-16,GUJARAT,PORBANDAR,586062,33.05,63822.15,9.17,947,8.85,2.23,76.63,68.32,84.56,2316,48861,33038,60,366
508,2015-16,GUJARAT,JUNAGADH,2742291,25.49,301377.78,12.01,952,9.69,2.03,76.88,67.59,85.8,8831,231140,158420,154,998
509,2015-16,GUJARAT,AMRELI,1513614,41.01,168767.96,8.59,964,8.78,0.48,74.49,66.97,81.82,7397,128931,83918,73,897
510,2015-16,GUJARAT,BHAVNAGAR,2877961,30.32,369530.19,16.53,931,5.45,0.32,76.84,66.92,86.15,10034,283467,179581,118,1081
511,2015-16,GUJARAT,ANAND,2090276,22.76,243726.18,12.57,921,4.99,1.19,85.79,77.76,93.23,3204,182707,114797,481,778
512,2015-16,GUJARAT,KHEDA,2298934,14,277251.44,12.81,937,5.03,1.75,84.31,74.67,93.4,3953,211413,131958,668,903
513,2015-16,GUJARAT,PANCH MAHALS,2388267,8.99,348925.81,17.92,945,4.2,30.18,72.32,59.95,84.07,5231,263485,158068,606,928
514,2015-16,GUJARAT,DOHAD,2126558,49.54,402982.74,29.95,986,1.95,74.32,60.6,49.02,72.14,3642,306374,169215,814,1038
515,2015-16,GUJARAT,VADODARA,4157568,10.44,474378.51,14.16,934,5.32,27.61,81.21,74.4,87.59,7546,363506,226745,607,881
516,2015-16,GUJARAT,NARMADA,590379,34.07,75214.28,14.77,960,1.48,81.55,73.29,63.62,82.6,2817,57054,36318,320,451
517,2015-16,GUJARAT,BHARUCH,1550822,79.68,170590.42,13.14,924,4.01,31.48,83.03,76.79,88.8,6509,131300,86256,287,758
518,2015-16,GUJARAT,SURAT,6079231,10.89,710662.1,42.19,788,2.6,14.09,86.65,81.02,91.05,4549,537397,318023,640,1403
519,2015-16,GUJARAT,THE DANGS,226769,30.74,39389.78,21.44,1007,0.44,94.65,76.8,68.75,84.98,1766,30270,18891,267,148
520,2015-16,GUJARAT,NAVSARI,1330711,37.23,129478.18,8.24,961,2.67,48.11,84.78,79.3,90.06,2246,97702,62449,294,570
521,2015-16,GUJARAT,VALSAD,1703068,9.79,206241.53,20.74,926,2.24,52.93,80.94,74.96,86.48,3008,158038,98948,503,679
522,2015-16,GUJARAT,TAPI,806489,46.06,84520.05,12.07,1004,1.01,84.18,69.23,61.69,76.86,3139,64508,42420,503,386
523,2015-16,GUJARAT,ARAVALLI,,,,,,,,,,,,,,572,779
524,2015-16,GUJARAT,BOTAD,,,,,,,,,,,,,,23,295
525,2015-16,GUJARAT,DEVBHOOMI DWARKA,,,,,,,,,,,,,,127,656
526,2015-16,GUJARAT,GIR SOMNATH,,,,,,,,,,,,,,81,730
527,2015-16,GUJARAT,MAHISAGAR,,,,,,,,,,,,,,716,606
528,2015-16,GUJARAT,CHHOTAUDEPUR,,,,,,,,,,,,,,830,497
529,2015-16,GUJARAT,MORBI,,,,,,,,,,,,,,55,663
530,2015-16,DAMAN AND DIU,DIU,52056,83.1,6335.22,17.73,1030,3.58,0.24,83.36,75.83,91.24,39,4826,3272,23,1
531,2015-16,DAMAN AND DIU,DAMAN,190855,46.62,19543.55,67.43,533,2.23,7.97,88.06,81.14,91.53,72,15066,7458,36,5
532,2015-16,DADRA AND NAGAR HAVELI,DADRA AND NAGAR HAVELI(UT),342853,46.62,49199.41,55.5,775,1.8,51.95,77.65,65.93,86.46,491,37255,21915,177,128
533,2015-16,MAHARASHTRA,NANDURBAR,1646177,16.72,231287.87,25.5,972,2.91,69.28,63.04,53.9,71.98,5955,178959,115913,1349,284
534,2015-16,MAHARASHTRA,DHULE,2048781,27.91,261424.46,19.96,941,6.22,31.56,74.61,66.21,82.59,7195,200620,126867,1221,255
535,2015-16,MAHARASHTRA,JALGAON,4224442,31.8,513692.15,14.71,922,9.2,14.29,79.73,70.92,87.97,11765,385641,234503,1708,729
536,2015-16,MAHARASHTRA,BULDANA,2588039,21.23,324281.29,15.93,928,18.21,4.83,82.09,72.95,90.69,9661,237436,140129,1088,726
537,2015-16,MAHARASHTRA,AKOLA,1818617,39.69,206049.31,11.6,942,20.07,5.53,87.55,81.91,92.89,5676,150007,93903,751,546
538,2015-16,MAHARASHTRA,WASHIM,1196714,17.69,147435.16,17.23,926,19.17,6.72,81.7,72.26,90.54,4898,111363,67453,617,401
539,2015-16,MAHARASHTRA,AMRAVATI,2887826,35.9,299756.34,10.77,947,17.53,13.99,88.23,83.52,92.7,12210,221384,141492,1246,874
540,2015-16,MAHARASHTRA,WARDHA,1296157,32.47,124560.69,4.8,946,14.52,11.49,87.22,81.89,92.27,6309,92637,58272,793,377
541,2015-16,MAHARASHTRA,NAGPUR,4653171,68.3,481603.2,14.39,948,18.65,9.4,89.52,85.07,93.76,9892,356737,216651,1783,1163
542,2015-16,MAHARASHTRA,BHANDARA,1198810,19.5,122878.03,5.52,984,16.69,7.41,85.14,77.02,93.17,4087,89295,57913,646,345
543,2015-16,MAHARASHTRA,GONDIYA,1322331,17.07,136067.86,10.13,996,13.31,16.2,85.41,77.3,93.54,5234,100329,67092,737,561
544,2015-16,MAHARASHTRA,GADCHIROLI,1071795,11,115110.78,10.46,975,11.25,38.71,70.55,60.66,80.21,14412,87981,58664,1218,480
545,2015-16,MAHARASHTRA,CHANDRAPUR,2194262,35.08,223814.72,5.95,959,15.8,17.67,81.35,73.65,88.73,11443,165736,103471,1207,734
546,2015-16,MAHARASHTRA,YAVATMAL,2775457,21.59,320565.28,12.9,947,11.85,18.54,80.7,72.41,88.58,13582,236940,145985,1560,1061
547,2015-16,MAHARASHTRA,NANDED,3356566,27.23,444409.34,16.7,937,19.06,8.38,76.94,66.68,86.62,10528,337436,206034,1807,1077
548,2015-16,MAHARASHTRA,HINGOLI,1178973,15.17,161047.71,19.43,935,15.51,9.51,76.04,64.73,86.73,4827,122653,72548,610,418
549,2015-16,MAHARASHTRA,PARBHANI,1835982,31.04,251896.73,20.18,940,13.47,2.21,75.22,64.27,85.66,6214,190060,110690,759,758
550,2015-16,MAHARASHTRA,JALNA,1958483,19.26,281434.01,21.84,929,13.9,2.16,73.61,61.28,85.25,7718,210046,118787,1166,691
551,2015-16,MAHARASHTRA,AURANGABAD (MAHARASHTRA),3695928,43.74,516690.73,27.33,917,14.57,3.87,80.4,70.81,89.31,10107,380820,221497,1723,1390
552,2015-16,MAHARASHTRA,NASHIK,6109052,42.53,805173.05,22.33,931,9.08,25.62,80.96,73.43,88.03,15530,593521,355150,3073,1222
553,2015-16,MAHARASHTRA,THANE,11054131,76.92,1256854.69,35.94,880,6.6,13.95,86.18,80.78,90.9,9558,967257,580774,1440,1846
554,2015-16,MAHARASHTRA,MUMBAI (SUBURBAN),9332481,0,877253.21,8.01,857,6.23,1.12,90.9,86.93,90.54,446,677287,418313,1410,906
555,2015-16,MAHARASHTRA,MUMBAI II,3145966,0,262373.56,-5.75,838,7.13,0.81,88.48,86.03,94.28,157,198058,124571,5,14
556,2015-16,MAHARASHTRA,RAIGARH (MAHARASHTRA),2635394,36.91,290420.42,19.36,955,5.12,11.58,83.89,76.79,90.68,7152,216649,133353,2312,919
557,2015-16,MAHARASHTRA,PUNE,9426959,60.89,1067131.76,30.34,910,12.52,3.7,87.19,81.13,92.72,15643,784839,446459,3541,1903
558,2015-16,MAHARASHTRA,AHMADNAGAR,4543083,20.1,537446.72,12.43,934,12.63,8.33,80.22,71.15,88.81,17048,400320,241709,3363,814
559,2015-16,MAHARASHTRA,BID,2585962,19.9,344191.54,19.65,912,13.59,1.27,73.53,62.29,83.99,10693,262257,151489,2133,808
560,2015-16,MAHARASHTRA,LATUR,2455543,25.47,307679.54,18.04,924,19.6,2.34,79.03,70.02,87.42,7157,231868,143637,1007,873
561,2015-16,MAHARASHTRA,OSMANABAD,1660311,16.96,199569.38,11.69,920,16,2.17,76.33,66.67,85.31,7569,149867,88439,762,569
562,2015-16,MAHARASHTRA,SOLAPUR,4315527,32.4,519589.45,12.1,932,15.05,1.8,77.72,68.55,86.35,14895,387414,232441,2549,1145
563,2015-16,MAHARASHTRA,SATARA,3003922,18.98,307601.61,6.94,986,10.76,0.99,84.2,76.29,92.09,10480,226616,144288,2080,996
564,2015-16,MAHARASHTRA,RATNAGIRI,1612672,16.35,149494.69,-4.96,1123,4.15,1.26,82.43,74.55,91.43,8208,113298,79180,1818,1084
565,2015-16,MAHARASHTRA,SINDHUDURG,848868,12.6,68673.42,-2.3,1037,6.54,0.82,86.54,79.73,93.68,5207,51637,36391,983,537
566,2015-16,MAHARASHTRA,KOLHAPUR,3874015,31.75,395149.53,9.96,953,13.02,0.78,82.9,74.18,91.33,7685,289670,183643,1462,1212
567,2015-16,MAHARASHTRA,SANGLI,2820575,25.51,295032.15,9.18,964,12.51,0.65,82.62,74.66,90.4,8572,217977,138462,1455,747
568,2015-16,MAHARASHTRA,PALGHAR,,,,,,,,,,,,,,1769,888
569,2015-16,ANDHRA PRADESH,SRIKAKULAM,2699471,16.16,265358,6.38,1014,9.46,6.15,62.3,52.56,72.25,5837,207805,142351,2396,807
570,2015-16,ANDHRA PRADESH,VIZIANAGARAM,2342868,20.93,231006.78,4.16,1016,10.57,10.05,59.49,50.16,69.04,6539,175612,121341,2354,450
571,2015-16,ANDHRA PRADESH,VISAKHAPATNAM,4288113,47.51,429240.11,11.89,1003,7.68,14.42,67.7,60,75.48,11161,327917,219070,3417,801
572,2015-16,ANDHRA PRADESH,EAST GODAVARI,5151549,25.52,492488.08,5.1,1005,18.34,4.14,71.35,67.82,74.91,10807,379527,257470,3817,1021
573,2015-16,ANDHRA PRADESH,WEST GODAVARI,3934782,20.55,363573.86,3.45,1004,20.62,2.77,74.32,71.05,77.63,7742,277382,190903,2791,782
574,2015-16,ANDHRA PRADESH,KRISHNA,4529009,41.01,406705.01,8.15,997,19.28,2.93,74.37,69.62,79.13,8727,311406,209992,2568,897
575,2015-16,ANDHRA PRADESH,GUNTUR,4889230,33.89,466432.54,9.5,1003,19.59,5.06,67.99,60.64,75.4,11391,364741,243302,2964,794
576,2015-16,ANDHRA PRADESH,PRAKASAM,3392764,19.52,360311.54,10.9,981,23.19,4.45,63.53,53.4,73.54,17626,279116,186903,2857,630
577,2015-16,ANDHRA PRADESH,NELLORE,2966082,29.07,287413.35,11.15,986,22.49,9.65,69.15,62.3,75.93,13076,223115,147907,2978,642
578,2015-16,ANDHRA PRADESH,Kadapa,2884524,34.1,313547.76,10.87,984,16.16,2.63,67.88,57.26,78.41,15359,244146,158285,3028,602
579,2015-16,ANDHRA PRADESH,KURNOOL,4046601,28.26,477094.26,14.65,984,18.21,2.04,61.13,50.81,71.36,17658,372891,248731,2326,955
580,2015-16,ANDHRA PRADESH,ANANTAPUR,4083315,28.09,427114.75,12.16,977,14.29,3.78,64.28,54.31,74.09,19130,329609,216151,3077,968
581,2015-16,ANDHRA PRADESH,CHITTOOR,4170468,29.47,423302.5,11.33,1002,18.83,3.81,72.36,63.65,81.15,15152,321957,209615,4220,735
582,2015-16,KARNATAKA,BELGAUM,4778439,25.34,605428.22,13.38,969,12.08,6.22,73.94,64.74,82.9,13433,,,729,1015
583,2015-16,KARNATAKA,BAGALKOT,1890826,31.67,263770.23,14.46,984,16.89,5.14,69.39,58.55,80.16,6552,203219,116941,668,1022
584,2015-16,KARNATAKA,BIJAPUR (KARNATAKA),2175102,23.02,303426.73,20.38,954,20.34,1.81,67.2,56.54,77.41,10498,239147,137295,1300,1297
585,2015-16,KARNATAKA,GULBARGA,2564892,32.46,352159.67,17.94,962,25.28,2.54,65.65,55.87,,10954,272154,162340,1233,1457
586,2015-16,KARNATAKA,BIDAR,1700018,24.9,216922.3,13.16,952,23.47,13.85,71.01,61.66,79.94,5448,168415,104581,871,1155
587,2015-16,KARNATAKA,RAICHUR,1924773,25.32,272740.33,15.27,992,20.79,19.03,60.46,49.56,71.35,8442,211778,123576,914,941
588,2015-16,KARNATAKA,KOPPAL,1391292,16.79,194224.36,16.32,983,18.61,11.82,67.28,56.22,78.21,5570,151725,86967,540,680
589,2015-16,KARNATAKA,GADAG,1065235,35.65,127295.58,9.61,978,16.36,5.79,75.18,65.29,84.89,4657,97470,55810,270,507
590,2015-16,KARNATAKA,DHARWAD,1846993,56.83,210187.8,15.13,967,9.63,4.74,80.3,73.57,86.83,4260,155729,94416,358,701
591,2015-16,KARNATAKA,UTTARA KANNADA,1436847,29.14,146414.71,6.15,975,8.1,2.38,84.03,78.21,89.72,10277,,,526,529
592,2015-16,KARNATAKA,HAVERI,1598506,22.27,187824.46,11.08,951,13.77,8.85,77.6,70.65,84.22,4823,144551,83654,582,830
593,2015-16,KARNATAKA,BELLARY,2532383,36.3,341871.71,24.92,978,21.1,18.41,67.85,58.28,77.24,8461,253461,145395,758,1113
594,2015-16,KARNATAKA,CHITRADURGA,1660378,19.78,177826.48,9.39,969,23.45,18.23,73.82,66.05,81.37,8436,137222,80463,935,1029
595,2015-16,KARNATAKA,DAVANAGERE,1946905,32.31,206956,8.71,967,20.18,11.98,76.3,69.39,83.02,5924,158348,97666,814,1045
596,2015-16,KARNATAKA,SHIMOGA,1755512,35.5,176955.61,6.88,995,17.58,3.73,80.5,74.89,86.11,8478,129539,84564,1023,1211
597,2015-16,KARNATAKA,UDUPI,1177908,28.36,100593.34,5.9,1093,6.41,4.49,86.29,81.41,91.69,3582,73055,46058,274,644
598,2015-16,KARNATAKA,CHIKKAMANGALORE,1137753,21.07,100804.92,-0.28,1005,22.29,3.95,79.24,72.88,85.66,7202,75667,49836,854,828
599,2015-16,KARNATAKA,TUMKUR,2681449,22.48,252324.35,3.74,979,18.92,7.82,74.32,66.45,82.05,10597,,,1464,953
600,2015-16,KARNATAKA,KOLAR,1540231,31.38,161878.28,11.04,976,30.32,5.13,74.33,66.56,81.94,3979,125881,77893,1289,804
601,2015-16,KARNATAKA,BANGALORE U SOUTH,,,,,,,,,,91.82,0,,,689,1104
602,2015-16,KARNATAKA,BANGALORE RURAL,987257,27.11,101983.65,16.02,945,21.57,5.34,78.29,70.73,85.44,2298,76980,45496,744,525
603,2015-16,KARNATAKA,MANDYA,1808680,17.08,162057.73,2.55,989,14.69,1.24,70.14,62.1,78.14,4962,124847,79322,983,1052
604,2015-16,KARNATAKA,HASSAN,1776221,21.23,155596.96,3.17,1005,19.42,1.82,75.89,68.3,83.55,6814,117054,78073,1480,1207
605,2015-16,KARNATAKA,DAKSHINA KANNADA,2083625,47.6,202736.71,9.8,1018,7.09,3.94,88.62,84.04,93.31,4861,149387,94417,334,1079
606,2015-16,KARNATAKA,KODAGU,554762,14.62,52702.39,1.13,1019,13.27,10.47,82.52,77.91,87.24,4102,39503,26696,168,346
607,2015-16,KARNATAKA,MYSORE,2994744,41.35,285998.05,13.39,982,17.88,11.15,72.56,66.59,78.44,6307,222820,138957,1091,1334
608,2015-16,KARNATAKA,CHAMARAJANAGARA,1020962,17.17,94847.37,5.75,989,25.42,11.78,61.12,54.32,67.88,5648,73751,45606,416,521
609,2015-16,KARNATAKA,BANGALORE U NORTH,9588910,90.94,988616.62,46.68,908,21.57,5.34,88.48,84.8,,2298,,,433,723
610,2015-16,KARNATAKA,CHIKKABALLAPURA,1254377,22.26,124685.07,9.17,968,24.9,12.47,70.08,61.55,78.36,4244,99317,60933,1012,716
611,2015-16,KARNATAKA,BELGAUM CHIKKODI,,,,,,,,,,,0,,,969,1418
612,2015-16,KARNATAKA,TUMKUR MADHUGIRI,,,,,,,,,,,0,,,824,595
613,2015-16,KARNATAKA,RAMANAGARA,1082739,24.6,101560.92,5.06,976,18.83,2.12,69.2,61.3,76.92,3516,78988,48494,935,590
614,2015-16,KARNATAKA,YADAGIRI,1172985,18.8,185683.53,22.67,984,23.28,12.51,52.36,41.31,63.33,5270,146248,81921,651,574
615,2015-16,KARNATAKA,UTTARA KANNADA SIRSI,,,,,,,,,,89.72,0,,,659,552
616,2015-16,GOA,NORTH GOA,817761,60.24,75152.24,7.8,959,2.15,6.92,88.85,83.74,93.77,1736,55967,33643,602,42
617,2015-16,GOA,SOUTH GOA,639962,64.63,64380.18,8.63,980,1.22,14.47,85.53,79.42,91.56,1966,48424,28917,371,31
618,2015-16,LAKSHADWEEP,LAKSHADWEEP,64429,78.02,7087.19,6.23,946,0,94.8,92.28,88.25,96.11,30,5142,3204,17,13
619,2015-16,KERALA,KASARAGOD,1302600,38.78,128696.88,8.18,1079,4.08,3.74,89.85,86.13,93.93,1989,109584,65018,373,191
620,2015-16,KERALA,KANNUR,2525637,65.05,265191.89,4.84,1133,3.3,1.64,95.41,93.57,97.54,2961,191532,112105,856,453
621,2015-16,KERALA,WAYANAD,816558,3.87,89739.72,4.6,1035,3.99,18.53,89.32,85.94,92.84,2130,66156,42504,207,96
622,2015-16,KERALA,KOZHIKODE,3089543,67.15,323475.15,7.31,1097,6.45,0.49,95.24,93.16,97.57,2345,240266,147940,922,381
623,2015-16,KERALA,MALAPPURAM,4110956,44.19,552923.58,13.39,1096,7.5,0.56,93.55,91.55,95.78,3554,410109,243419,1053,337
624,2015-16,KERALA,PALAKKAD,2810892,24.09,288397.52,7.39,1067,14.37,1.74,88.49,84.99,92.27,4482,216562,131767,688,286
625,2015-16,KERALA,THRISSUR,3110327,67.19,289260.41,4.58,1109,10.39,0.3,95.32,93.85,96.98,3027,219260,133942,571,247
626,2015-16,KERALA,ERNAKULAM,3279860,68.07,289283.65,5.6,1028,8.18,0.5,95.68,94.27,97.14,3063,219910,136764,560,254
627,2015-16,KERALA,IDUKKI,1107453,4.7,100113.75,-1.93,1006,13.12,5.03,92.2,89.59,94.84,4356,76259,49839,384,89
628,2015-16,KERALA,KOTTAYAM,1979384,28.58,168643.52,1.32,1040,7.8,1.11,96.4,95.67,97.17,2206,127406,83448,523,201
629,2015-16,KERALA,ALAPPUZHA,2121943,54.06,186094.4,0.61,1100,9.46,0.31,96.26,94.8,97.9,1415,139006,88686,483,202
630,2015-16,KERALA,PATHANAMTHITTA,1195537,11,91458.58,-3.12,1129,13.74,0.68,96.93,96.26,97.7,2652,69965,46518,492,133
631,2015-16,KERALA,KOLLAM,2629703,45.11,237988.12,1.72,1113,12.46,0.41,93.77,91.95,95.83,2483,183488,116326,641,190
632,2015-16,KERALA,THIRUVANANTHAPURAM,3307284,53.8,290710.26,2.25,1088,11.3,0.81,92.66,90.89,94.6,2189,220757,136973,675,305
633,2015-16,TAMIL NADU,THIRUVALLUR,3725697,65.3,369961.71,35.25,983,22.04,1.27,83.82,78.39,89.18,3394,288322,171027,1467,372
634,2015-16,TAMIL NADU,CHENNAI,4681087,100,418489.18,7.77,986,16.78,0.22,90.33,87.16,93.47,175,324985,191820,643,185
635,2015-16,TAMIL NADU,KANCHEEPURAM,3990897,63.59,396296.07,38.69,985,23.71,1.03,85.29,80.17,90.34,4483,303755,176924,1378,451
636,2015-16,TAMIL NADU,VELLORE,3928106,43.13,406558.97,12.96,1004,21.85,1.85,79.65,72.43,86.96,6075,311431,195935,2094,551
637,2015-16,TAMIL NADU,DHARMAPURI,1502900,17.33,162162.91,16.04,946,16.29,4.18,64.71,60.03,69.16,4497,122997,77604,948,344
638,2015-16,TAMIL NADU,TIRUVANNAMALAI,2468965,20.1,256278.57,12.94,993,22.94,3.69,74.72,65.71,83.73,6188,198709,123835,1605,390
639,2015-16,TAMIL NADU,VILUPPURAM,3463284,14.72,378536.94,16.99,985,29.37,2.16,72.08,63.51,80.58,7194,296843,185773,1842,509
640,2015-16,TAMIL NADU,SALEM,3480008,51.04,322944.74,15.37,954,16.67,3.43,73.23,65.43,80.7,5237,250648,167554,1425,423
641,2015-16,TAMIL NADU,NAMAKKAL,1721179,40.27,140276.09,15.25,986,20,3.31,74.92,66.68,83.09,3420,109469,73065,822,201
642,2015-16,TAMIL NADU,ERODE,2259608,51.22,181220.56,12.05,992,16.41,0.97,72.96,65.07,80.81,5760,140648,91374,1477,436
643,2015-16,TAMIL NADU,THE NILGIRIS,735071,59.32,61672.46,-3.55,1041,32.08,4.46,85.65,79.44,92.15,2565,48278,33466,408,102
644,2015-16,TAMIL NADU,COIMBATORE,3472578,75.83,295516.39,18.46,1001,15.5,0.82,84.31,79.16,89.49,4732,227018,139939,1767,523
645,2015-16,TAMIL NADU,DINDIGUL,2161367,37.36,199926.45,12.39,998,20.95,0.37,76.85,68.82,84.91,6036,156753,100159,1294,281
646,2015-16,TAMIL NADU,KARUR,1076588,40.33,98938.44,15.06,1015,20.8,0.05,75.86,67.05,84.86,2904,74447,47972,655,187
647,2015-16,TAMIL NADU,TIRUCHIRAPPALLI,2713858,49.26,253745.72,12.22,1013,17.14,0.67,83.56,77.24,90,4509,195714,128189,1281,328
648,2015-16,TAMIL NADU,PERAMBALUR,564511,17.14,55943.04,14.36,1006,31.01,0.46,74.68,66.11,83.39,1756,42178,29579,776,213
649,2015-16,TAMIL NADU,CUDDALORE,2600880,33.94,260608.18,13.8,984,29.32,0.6,79.04,71.2,86.84,3703,203463,132088,1365,370
650,2015-16,TAMIL NADU,NAGAPATTINAM,1614069,22.54,154466.4,8.41,1025,31.54,0.23,84.09,78,90.38,2569,118429,79152,951,253
651,2015-16,TAMIL NADU,THIRUVARUR,1268094,20.4,115016.13,8.43,1020,34.09,0.24,83.26,77.02,89.65,2274,86626,58187,799,245
652,2015-16,TAMIL NADU,THANJAVUR,2402781,35.39,223939.19,8.42,1031,18.91,0.15,82.72,76.61,89.06,3411,172117,115548,1319,290
653,2015-16,TAMIL NADU,PUDUKKOTTAI,1618725,19.39,169966.13,10.9,1015,17.6,0.08,77.76,69.51,86.19,4644,129977,85951,1268,336
654,2015-16,TAMIL NADU,SIVAGANGA,1341250,30.99,127687,16.09,1000,17.01,0.06,80.46,72.33,88.61,4233,98702,65897,980,335
655,2015-16,TAMIL NADU,MADURAI,3041038,60.64,287073.99,17.95,990,13.46,0.37,81.66,76.74,86.55,3710,225600,145918,1301,336
656,2015-16,TAMIL NADU,THENI,1243684,53.83,110936.61,13.69,990,20.72,0.15,77.62,69.72,85.48,2868,86856,58124,527,183
657,2015-16,TAMIL NADU,VIRUDHUNAGAR,1943309,50.42,183254.04,10.96,1009,20.59,0.12,80.75,73.14,88.46,4241,143264,95860,1103,247
658,2015-16,TAMIL NADU,RAMANATHAPURAM,1337560,31.89,127469.47,12.63,977,18.4,0.08,81.48,74.93,87.89,4104,101663,67652,1041,225
659,2015-16,TAMIL NADU,THOOTHUKKUDI,1738376,50.15,170534.69,9.14,1024,19.88,0.28,86.52,81.77,91.42,4745,131933,88191,1190,314
660,2015-16,TAMIL NADU,TIRUNELVELI,3072880,49.49,301142.24,13.66,1024,18.51,0.33,82.92,76.38,89.66,6693,231229,152776,1804,460
661,2015-16,TAMIL NADU,KANNIYAKUMARI,1863174,82.47,161909.82,11.17,1010,3.97,0.39,92.14,90.45,93.86,1684,130314,82917,574,195
662,2015-16,TAMIL NADU,KRISHANAGIRI,1883731,22.75,203819.69,20.67,956,14.22,1.19,72.41,64.86,79.65,5129,158233,99082,1275,324
663,2015-16,PONDICHERRY,YANAM,55616,100,6021,77.15,1039,15.15,0,80.26,77.07,83.63,30,4478,3136,15,0
